accession,Ler(2)/Col(3),PLANT,latritude grads,lat mins,long grads,long mins,#Leaves LD-V,days LD-V,#Leaves LD+V,days LD+V,#Leaves ShD-V,days ShD-V,Leaves ShD+V,Days ShD+V,FLC / Tubulin,FRI / Tubulin,days 0W+V,days 2W+V,days 4W+V,days 8W+V,JICleavesLD+V,JICftLD+V,JICleavesLD-V,JICftLD-V
Tu-0,2,101,45,0,7,50,23,33.3,31.5,36.3,65.8,76.8,43.33333333,49.16666667,0.035,0.846,31.9,24.4,NA,22.6,20.7,29.1,18.1,29.8
Fly-2-2,1,106,55,45,13.21,21,200,200,38,43.3,200,125,72.33333333,72.33333333,3.198,2.275,NA,NA,93.8,NA,41.8,41.7,119.5,115.6
Rev-1,1,109,55,44,13.3,30,82,95,26.3,41,200,125,65,76,3.065,2.352,NA,NA,NA,NA,21.6,30.6,91.4,69.2
Hov-4-1,1,117,56,5,13.44,44,77,72,29.5,37.8,200,125,86.5,100.1666667,0.81,0.804,125,125,79.5,33.4,24.5,34.8,Not flower,
San-2,1,118,62,41,18,0,200,200,34.7,44.8,200,125,65.5,70.83333333,3.151,2.093,125,77,NA,27.5,27.7,33.6,110.8,94.1
Boo-2-1,1,120,55,51,13.32,32,200,200,43,35,NA,NA,NA,NA,1.266,0.701,NA,NA,NA,NA,61.1,50,Not flower,
Lom-1-1,2,121,56,5,13,48,16.3,29.2,17.7,25.8,60.2,83.3,35.83333333,53.66666667,0.052,0.425,27.3,17.6,NA,16.6,16.1,26.4,9.7,23
Di-0,1,125,47,5,5,0,NA,NA,NA,NA,67.8,78,NA,NA,NA,NA,NA,NA,NA,NA,13.7,27.3,9.3,25
"Lillo""-1",1,132,56,2,14.05,14,200,200,44.6,48.8,200,125,200,200,1.248,0.636,NA,125,116.2,44,38.8,39.7,ND,ND
"Bro""-1-6",1,134,56,18,15,59,86,95,NA,NA,NA,NA,NA,NA,1.882,0.903,NA,116.4,63.8,27.1,22.5,32,ND,ND
App-1-4,2,135,56,20,15,57,22,38,29.5,40,60.5,93.2,55.25,61.5,0.018,0.236,NA,NA,NA,NA,19.5,31.6,24.1,37.2
Gul-1-2,1,136,56,28,15.5,5,200,200,37.5,40.3,200,125,63,88,2.221,1.497,125,102.2,108,30.2,,,Not flower,
Bao-1-2,1,138,56,26,12,51,14.5,28.8,30.3,36.3,79.8,85.3,58.83333333,53.66666667,0.037,1.79,33,22.6,NA,27.3,19,27.3,13.7,29.4
Bao-3-3,1,140,56,26,12,51,200,200,31.3,39.4,200,125,200,200,1.062,0.916,125,NA,125,56.6,21.7,28.5,Not flower,
Bao-4-1,1,141,56,26,12,51,18,34,17.2,35.6,75.7,111.7,49.66666667,71,0.338,1.019,41.5,28.2,NA,26.3,18.2,28.5,16.1,32.3
Bao-5-1,1,142,56,26,12,51,19.6,37.3,23.6,31.8,78,106,47.5,62.83333333,0.364,0.883,38.5,27,NA,26.5,17.1,29.9,16.6,33.1
Dra-3-1,1,145,55,33,13,57,200,200,24.2,34.2,200,125,114.8,131.6,2.073,1.85,NA,NA,NA,25.4,,,Not flower,
Kni-1,1,149,55,40,13.2,20,200,200,35.4,43.2,200,125,66,78,2.321,1.901,125,72.4,NA,33,30.4,33.3,91.1,86
Stu-1-1,1,150,56,0,14,0,200,200,48.3,54.5,200,125,200,200,0.843,0.599,NA,NA,NA,NA,ND,ND,Not flower,
"O""r-1",1,152,56,40,16.29,29,200,200,35.5,43.6,200,125,116,135.3333333,1.628,1.112,125,125,115.8,43.8,ND,ND,Not flower,
Lis-1,1,154,56,0,14,0,27.8,41.8,28.2,34.8,86.4,98,75.5,73,0.245,1.468,NA,NA,NA,25,18.1,32.7,40.8,47.4
Lis-2,1,155,56,0,14,0,200,200,27.5,41.3,200,125,48,72.5,1.265,0.767,125,69.7,NA,25.4,22.4,61.5,89.7,83.9
Lis-5,1,156,56,0,14,0,22.4,36,17.2,30.3,59.8,89,51.33333333,59.66666667,0.13,0.633,NA,NA,NA,NA,17,32.9,17.2,35.1
Hovdala-2,1,157,56,5,13.44,44,20.7,36.3,20.4,29.5,56.4,89.8,40.16666667,70.5,0.058,1.165,38.9,27.4,NA,25.3,19,28.1,16.5,31.9
Hovdala-6,1,158,56,5,13.44,44,49.8,52.8,22.4,28.7,78.8,101.2,43,53.5,0.482,0.755,NA,NA,NA,NA,22.8,31.2,58.2,48.8
Tottarp-2,1,159,55,37,13.08,8,18.8,35.8,19.5,24.8,78.3,98.2,39.5,50,0.248,1.358,31.4,21.6,NA,19.4,14.9,25.1,14.3,27
Liarum,1,161,55,57,13.49,49,NA,NA,29.5,43,86,114,71.33333333,73.5,0.37,1.146,55.3,33.4,NA,31,25.3,40,42,49.3
Kulturen-1,1,165,56,0,14,0,200,200,47,42.5,200,125,200,200,1.434,0.86,125,114.6,125,40.9,ND,ND,ND,ND
"Ka""vlinge-1",1,166,55,49,13.1,10,200,200,37,38.4,200,125,130.25,128.5,1.063,1.385,125,125,94.8,25,ND,ND,Not flower,
Eds-1,1,174,62,37,17.17,17,68,83,27.5,35,200,125,37.33333333,55,2.084,1.89,125,78.2,NA,30.8,ND,ND,Not flower,
Nyl-2,1,176,63,18,13.22,22,200,200,31,42,200,125,NA,NA,1.234,0.838,125,125,71.9,26.9,27.6,37.1,Not flower,
Sanna-2,1,180,37,22,-121,57,200,200,25.7,43,200,125,46.66666667,73.33333333,1.629,0.937,NA,125,88.9,33.1,19.9,38,Not flower,
Sr:5,1,183,59,13,10.08,8,NA,NA,20,35.3,68.5,81.2,36.8,42.2,NA,NA,40.2,28,21.5,20.2,ND,ND,ND,ND
Duk,2,185,49,44,15,18,13.2,26,18.2,24.7,64.7,69.7,38,58,0.018,0.243,24.5,16,17.8,17.2,15,25.2,8.7,25.2
Hod,1,186,49,44,15.18,18,56.5,21,16.8,23.8,NA,NA,NA,NA,1.169,0.825,55.4,33.8,25.6,18.2,15.5,29,48.3,49.3
HSm,1,187,49,44,15.18,18,24.2,35.7,17.8,27,58,97.8,45.5,60,0.114,1.072,35.7,23.2,NA,18.9,15.5,27.8,16.9,33.3
DraII-1,1,191,49,12,16.37,37,64,77,21.3,30,57.2,89.8,52.66666667,67.33333333,0.85,0.696,66.3,29,NA,21.2,18.3,28.9,48.3,
DraIII-1,1,192,49,12,16.37,37,23.2,35.8,14.3,23.5,57.2,88.3,38.5,59,0.06,0.623,36.5,22.4,20.8,18.3,NA,NA,NA,NA
Hov-2-2,1,HOV,56,5,13.44,44,22,42,14,24.3,63,96,54.16666667,63.16666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil-1,1,W,55,18,23,51,13,27.2,17,22,59,76.8,28,41,NA,NA,NA,NA,NA,NA,11.3,29.3,ND,ND
