accession,Ler(2)/Col(3),PLANT,latritude grads,lat mins,long grads,long mins,#Leaves LD-V,days LD-V,#Leaves LD+V,days LD+V,#Leaves ShD-V,days ShD-V,Leaves ShD+V,Days ShD+V,FLC / Tubulin,FRI / Tubulin,days 0W+V,days 2W+V,days 4W+V,days 8W+V,JICleavesLD+V,JICftLD+V,JICleavesLD-V,JICftLD-V
Kondara,1,11H,38,35,68.48,48,28,45,17.2,27.6,65.2,86.5,24.5,42.83333333,1.02,0.825,42.6,24,23.3,19.1,13.6,29.3,33,46.1
KZ-1,1,6C,49,50,73.1,10,17.8,35.7,10.5,19.8,35.6,85.4,18.2,33,0.463,0.669,23.6,19.4,17,13.3,11.6,23.2,11.3,25.9
KZ-9,1,6D,49,50,73.1,10,13.2,31,11.7,22,42.8,83.2,18.5,42.16666667,0.106,0.512,25.6,20.6,16.8,14.4,12.3,24.6,10.7,25.6
Ler-1,2,7G,51,31,12,10,11,26.8,14.5,24.3,40.5,73.7,39.6,61.2,0.111,0.3406,27.8,22.2,21.2,18.7,14.2,29,9,27.7
LL-0,1,11G,41,59,2.49,49,29.3,46,12.3,22,47.7,76,16.33333333,37.66666667,2.597,1.3012,68.8,27.4,20.7,15.6,8.8,25,37.8,49.8
Lov-1,1,2C,62,48,18.05,5,200,200,45,52.8,200,125,62,99,1.49,1.7791,125,125,125,NA,37.9,43.4,200,125
Lov-5,1,2D,62,48,18.05,5,200,200,37,51.3,200,125,121,117.2,3.324,4.3861,NA,NA,NA,36.8,38,42,200,125
LP2-2,1,4G,49,22,16.39,39,23.2,36.8,19.3,26,58.8,95.6,42.16666667,60.83333333,0.155,2.0038,36.2,23,24.7,18.1,16.3,28.4,17.7,30.8
LP2-6,1,4H,49,22,16.39,39,27.7,36.3,18.8,25.2,75.5,110.3,43.33333333,59.83333333,1.111,3.6373,48.9,26.4,22.5,18.9,16.4,28.1,18.2,32
Lz-0,2,7D,46,0,3,30,45.2,48,17.2,24.5,64.8,91.5,34.5,40.5,1.378,0.3965,48.2,28.6,24.6,20,17.2,25.5,34.4,42.4
Mr-0,1,10E,44,30,9.3,30,46.3,63.4,19.5,34.7,59.6,93.2,40.5,58,2.695,1.0036,90.5,54.6,49.8,28.5,18.2,34,NA,NA
Mrk-0,2,9H,49,0,9,30,23.2,37.3,27.2,30.7,62.3,83.5,39,51.66666667,0.081,0.3277,NA,29.4,27.6,22.8,17.4,29.8,25.6,36.9
MS-0,2,12D,49,30,-123,0,26.5,42,18.8,24.3,59.8,79.5,23.83333333,36.5,1.925,0.772,NA,NA,NA,16.3,16.8,26.4,45.6,54.3
Mt-0,3,10G,33,0,23,0,13.7,26.7,16.2,22.5,70.6,86.2,52.33333333,68,0.185,1.1142,26.5,19.6,20.3,19,13.7,25.6,10.7,23.8
Mz-0,3,10A,50,30,8,30,11.7,26.8,16.2,24.7,60,94.2,49.4,70,0.096,1.2245,29.4,18.8,21.7,18.2,12.5,25.1,10.4,28.7
Nd-1,3,7H,50,26,10,41,11,25,14.5,20.8,40.2,65.4,41.16666667,60.16666667,0.144,1.0632,33.1,20.4,19.6,17.4,14.8,24.9,10.9,24.2
NFA-10,1,5D,51,25,0.41,41,17.3,31.7,13.3,23.5,59,NA,25,51.33333333,0.162,0.8388,28.4,19.8,23.1,15.5,10.6,25.1,12,26
NFA-8,1,5C,51,25,0.41,41,14,28,14.2,21.3,62.4,79.6,31.16666667,46.33333333,0.203,1.1036,24.7,17.4,17.4,14.3,11.1,24.3,10,22.8
Nok-3,1,10H,52,30,4,0,24.5,40.2,24.2,33,72.8,104.3,48.16666667,64.33333333,0.858,1.258,NA,NA,NA,NA,17.3,32.1,25.5,38.9
Omo-2-1,1,3E,56,12,15.18,18,87,185.3,21,35.3,200,125,70,77.25,1.715,1.6083,NA,NA,NA,NA,21.6,35.1,76.8,96.5
Omo-2-3,1,3F,56,12,15.18,18,72.3,101.8,24.5,33.2,81.8,109.8,56,52.6,1.143,1.5632,75.8,45.6,32.6,24.9,20.4,31.9,82.6,NA
Oy-0,3,12G,60,23,6,13,21.5,32.8,22,29.8,79.5,102.4,53.33333333,64.83333333,0.038,0.816,NA,22,23.9,21.9,17.8,26.9,16.1,27.7
PNA-10,1,1H,42,7,-86.27,27,41.3,51.5,20.5,29.2,200,125,70.8,74.4,0.181,0.7381,NA,NA,NA,NA,31.3,36.5,59.4,49.3
PNA-17,1,1G,42,7,-86.27,27,59.6,63.8,21.8,27.7,200,125,66.66666667,68.66666667,0.889,1.8292,86.7,45.8,42,24.2,20,28.9,76.4,58.4
Pro-0,1,11F,43,15,-5,58,10.8,25,12.3,18.8,40.2,65.2,20.83333333,37,0.335,1.1361,31.6,17,20,18.2,10.4,25.1,10.3,23.4
Pu2-23,1,4F,42,38,18.07,7,34.4,44,21.3,25.7,81.7,87.5,43,47.16666667,0.661,2.4586,39.9,24.4,20.4,34.5,21.6,27.2,28.5,35.5
Pu2-7,1,4E,42,38,18.07,7,37.2,51.2,18,27.2,74.3,90.3,41.16666667,50,1.3,2.2153,NA,NA,NA,19.2,18.8,28.1,38.7,42.5
Ra-0,2,9E,46,0,3,30,12.7,27.2,16.7,23.2,54.5,102.5,40.66666667,50,3.397,0.4204,28.2,19.4,19.7,16.2,12.9,25.5,10.1,25.1
REN-1,1,6G,48,50,-1.41,41,27.8,38,19.7,29.2,86.2,89.3,40.66666667,52.33333333,0.459,0.6573,38.5,28.6,23.9,22.7,16.5,26.4,17.6,31.5
REN-11,1,6H,48,7,1.4,40,11,24.7,14.2,20.3,78.2,81.8,35,38.83333333,0.241,0.7975,23.1,16.4,15,14.6,13.1,23,NA,NA
RMX-A02,1,1E,42,7,-86.29,29,32.3,47,16.3,24.2,200,125,64.6,67.2,0.572,2.0003,NA,NA,NA,NA,30.4,36.5,61.5,54.1
RMX-A180,1,1F,42,7,-86.29,29,16.3,31.5,19.3,24.2,70.7,115.5,54.16666667,78.5,0.138,0.7095,41.1,25.8,22.9,20.1,16.5,26.9,15.4,31.8
RRS-10,1,1B,41,32,-86.26,26,43.5,50.6,17.3,29.3,NA,NA,NA,NA,0.272,0.9646,98.9,96.3,78.5,60,32.9,11.8,59.5,55.9
RRS-7,1,1A,41,32,-86,26,29.5,41.8,21,29.5,78.4,98.6,49.4,69.2,0.183,0.2262,NA,NA,NA,NA,19.9,29,24.8,36.2
Sakhdara,1,12A,55,30,13.34,34,12.5,33.3,12.8,24.5,45.3,77,15.83333333,38.83333333,0.063,1.0127,30.2,21.8,21.5,16.8,11.2,27.9,9.9,28.6
Se-0,1,11C,41,22,2.01,1,31.2,46.5,11.2,20.2,46.5,73.3,14,31.66666667,3.63,1.009,73.6,23.8,18.4,NA,10.4,24,NA,NA
Sorbo,1,12B,38,35,68.48,48,31.2,50,16,27,59,99.8,20.5,37.5,1.371,0.6743,44.7,29,21.9,17.3,14.5,28.7,30.4,41
Spr-1-2,1,3C,56,32,14.29,29,51.8,60.8,21.7,32.7,200,125,200,200,0.771,1.0586,125,79,NA,34.7,24.4,33.2,104.1,82
Spr-1-6,1,3D,56,32,14.29,29,200,200,32.5,40,200,125,64.33333333,80.66666667,1.793,1.7159,125,111.4,67.3,33.3,28,NA,NA,NA
SQ-1,1,5E,51,25,0.41,41,32.2,42.7,16.5,23.8,81.3,96.8,32.83333333,46.83333333,0.995,0.8259,50.7,27.8,22.9,18.6,14.4,26.7,21.9,36
SQ-8,3,5F,51,25,0,41,13.2,26.8,15.3,21.7,60,76.7,29.66666667,42,0.021,0.798,24.6,19,19.7,17.5,12.3,26.5,11.4,32
TAMM-2,1,6A,59,58,23.26,26,200,200,22,34.5,200,125,54.83333333,70.83333333,2.197,1.0727,125,98.2,43.4,25,NA,NA,200,125
TAMM-27,1,6B,59,58,23.26,26,200,200,21,33.2,200,125,56.66666667,77.5,2.777,1.3021,125,96.8,40.3,24.3,NA,NA,83.1,NA
Ts-1,1,11D,41,30,3,0,30.3,43.2,11.2,19.8,48.8,69.2,16.66666667,32.33333333,3.633,1.2371,77,26.4,21.3,18.8,10.6,25.9,33.6,44.3
Ts-5,1,11E,41,30,3,0,60.5,71.3,11,19.5,61.8,92,18.83333333,39.8,2.26,1.5324,80.5,44.6,31.8,17.4,10.4,26.3,60.4,67.8
Tsu-1,2,10F,34,43,136,31,25.3,35.2,29.8,31.3,69.5,73.3,43.33333333,50.5,0.06,0.2614,32.8,26.4,25.4,24,18,28.9,17.9,33.3
