,,NA_rate,mismatch_rate,no_of_NAs,no_of_totals,no_of_mismatches,no_of_non_NA_pairs,relative_NA_rate,relative_no_of_NAs,relative_no_of_totals
6980,Ws-0,0.00212314225053,0.0,1,471,0,78,0.0,0,78
6981,Ws-2,0.613588110403,0.0,289,471,0,72,0.0,0,78
6982,Wt-5,0.216560509554,-1,102,471,0,0,1.0,78,78
6983,Yo-0,0.00212314225053,0.0,1,471,0,78,0.0,0,78
6984,Zdr-1,0.526539278132,0.0,248,471,0,78,0.0,0,78
6985,Zdr-6,0.526539278132,0.0,248,471,0,78,0.0,0,78
7438,CS22491,0.00212314225053,0.0,1,471,0,77,0.0,0,78
7453,M3385S,0.0849256900212,0.012987012987,40,471,1,77,0.0,0,78
7514,RRS-7,0.290870488323,-1,137,471,0,0,0.987179487179,77,78
7515,RRS-10,0.0276008492569,0.0,13,471,0,77,0.0,0,78
7516,Var2-1,0.532908704883,0.0,251,471,0,78,0.0,0,78
7517,Var2-6,0.532908704883,0.0,251,471,0,73,0.0,0,78
7518,Omo2-1,0.532908704883,0.0,251,471,0,78,0.0,0,78
7519,Omo2-3,0.00636942675159,0.0,3,471,0,73,0.0,0,78
7520,Lp2-2,0.0,0.0,0,471,0,73,0.0,0,78
7521,Lp2-6,0.0169851380042,0.0,8,471,0,77,0.0,0,78
7522,Mr-0,0.00849256900212,0.0,4,471,0,77,0.0,0,78
7523,Pna-17,0.0,0.0,0,471,0,77,0.0,0,78
7524,Rmx-A02,0.0,0.0,0,471,0,78,0.0,0,78
7525,Rmx-A180,0.0276008492569,0.0,13,471,0,77,0.0,0,78
7526,Pna-10,0.0169851380042,0.0,8,471,0,60,0.0,0,78
8213,Pro-0,0.0169851380042,0.0,8,471,0,78,0.0,0,78
8214,Gy-0,0.00212314225053,0.0,1,471,0,77,0.0,0,78
8215,Fei-0,0.15923566879,0.0,75,471,0,5,0.935897435897,73,78
8222,Lis-2,0.0382165605096,0.0,18,471,0,77,0.0128205128205,1,78
8230,Algutsrum,0.188959660297,-1,89,471,0,0,0.987179487179,77,78
8231,Brö-1-6,0.0212314225053,0.0,10,471,0,77,0.0128205128205,1,78
8233,Dem-4,0.715498938429,-1,337,471,0,0,1.0,78,78
8234,Gul-1-2,0.167728237792,-1,79,471,0,0,1.0,78,78
8235,Hod,0.233545647558,0.0,110,471,0,1,0.987179487179,77,78
8236,HSm,0.0276008492569,0.0,13,471,0,78,0.0,0,78
8237,Kävlinge-1,0.00849256900212,0.0,4,471,0,78,0.0,0,78
8238,Kent,0.314225053079,0.0,148,471,0,5,0.935897435897,73,78
8239,Köln,0.0233545647558,0.0,11,471,0,67,0.141025641026,11,78
8240,Kulturen-1,0.248407643312,0.0,117,471,0,1,0.987179487179,77,78
8241,Liarum,0.235668789809,0.0,111,471,0,1,0.987179487179,77,78
8242,Lillö-1,0.216560509554,0.0,102,471,0,5,0.935897435897,73,78
